,City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type
1988,Ahmedabad,2020,Maruti,S PRESSO ,Manual,452599,10024,1,Petrol
1989,Ahmedabad,2019,Maruti,Dzire  ,Manual,650799,58978,1,Petrol
1990,Ahmedabad,2019,KIA,SELTOS  ,Manual,1107499,36999,1,Petrol
1991,Ahmedabad,2016,Hyundai,Elite i20 ,Manual,573299,61714,1,Petrol
1992,Ahmedabad,2019,Maruti,Dzire  ,Manual,711499,20691,1,Petrol
1993,Ahmedabad,2018,Maruti,Wagon R 1.0,Manual,418899,80865,1,Petrol
1994,Ahmedabad,2019,Maruti,Celerio X ,Manual,513799,14071,1,Petrol
1995,Ahmedabad,2018,Honda,City  ,Manual,824899,76040,2,Petrol
1996,Ahmedabad,2020,Hyundai,GRAND I10 NIOS,Manual,627975,19124,1,Petrol
1997,Ahmedabad,2019,Ford,Ecosport  ,Manual,829799,77774,1,Diesel
1998,Ahmedabad,2017,Maruti,Alto 800 ,Manual,298299,46398,1,Petrol
1999,Ahmedabad,2017,Maruti,Wagon R 1.0,Manual,418299,27932,1,Petrol
2000,Ahmedabad,2016,Hyundai,i20 Active ,Manual,569499,54562,2,Petrol
2001,Ahmedabad,2017,Maruti,Baleno  ,Manual,556499,76932,1,Petrol
2002,Ahmedabad,2019,Hyundai,Verna  ,Manual,874199,34014,2,Petrol
2003,Ahmedabad,2020,Maruti,S PRESSO ,Manual,381599,23128,2,Petrol
2004,Ahmedabad,2019,Hyundai,VENUE  ,Manual,1002299,14833,2,Petrol
2005,Ahmedabad,2019,Hyundai,NEW SANTRO ,Automatic,506699,26810,2,Petrol
2006,Ahmedabad,2018,Maruti,IGNIS  ,Manual,481599,48213,1,Petrol
2007,Ahmedabad,2016,Maruti,Wagon R 1.0,Manual,392899,54537,1,Petrol
2008,Ahmedabad,2019,MG,HECTOR  ,Manual,1629899,55484,2,Diesel
2009,Ahmedabad,2018,Honda,City  ,Automatic,868099,95439,1,Petrol
2010,Ahmedabad,2018,Maruti,Alto 800 ,Manual,300299,43426,1,Petrol
2011,Ahmedabad,2017,Ford,Ecosport  ,Manual,730799,59878,2,Diesel
2012,Ahmedabad,2020,Maruti,Baleno  ,Manual,725799,64886,1,Petrol
2013,Ahmedabad,2017,Maruti,Wagon R 1.0,Manual,427299,38391,1,Petrol
2014,Ahmedabad,2018,Maruti,Wagon R 1.0,Manual,464999,8413,1,Petrol
2015,Ahmedabad,2020,MG,HECTOR  ,Automatic,1739399,23140,1,Petrol
2016,Ahmedabad,2016,Maruti,S Cross ,Manual,563099,82230,2,Diesel
2017,Ahmedabad,2019,KIA,SELTOS  ,Manual,1107499,19762,1,Petrol
2018,Ahmedabad,2019,KIA,SELTOS  ,Automatic,1404899,60974,1,Petrol
2019,Ahmedabad,2019,Maruti,Dzire  ,Manual,701551,8696,1,Petrol
